k,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,stability_ari_mean,min_cluster_samples_mean,min_cluster_duration_hours_mean,min_cluster_speakers_mean,duration_balance_ratio_mean,passes_size_constraints
2,0.1670271505912145,3.9892989370706086e-05,2.114284967169793,1.4964833949953567e-05,898.4554616828001,0.0005924569672910783,0.9990671252103461,1967.6666666666667,2.23021462962963,266.0,1.2426358765193413,True
3,0.14276084303855896,0.0,1.9022727018859455,0.0,749.9995987478223,0.0,1.0,1014.0,1.5034008333333333,209.0,1.2246475259887628,True
4,0.12667802472909293,0.000355441895618137,2.1242465184131354,0.004146204689792783,632.4740492885248,0.005231387183056617,0.9419254713089273,776.6666666666666,0.760867962962963,159.66666666666666,2.2383753019169723,True
5,0.11643325785795848,4.6292591961292725e-05,2.1038791834304322,0.0005445690190332482,552.944487053915,0.002557328033124551,0.9932573545027955,462.0,0.48209842592592594,116.0,3.1589528023197992,True
6,0.09471532950798671,0.0001776087332588842,2.344541357091282,0.0016983602570284978,490.82495792122444,0.008989239621645039,0.9928810704223628,470.0,0.46974175925925926,124.66666666666667,2.557437994556135,True
7,0.10027657200892766,0.0010706782111149658,2.1904839210976537,0.018930455286398504,447.2033004378011,0.0491070738688857,0.9092554697655911,100.66666666666667,0.12613564814814815,36.666666666666664,9.65181056551728,False
8,0.09013252953688304,0.003798753349268167,2.206881674507673,0.030706912884129897,412.0418837090406,1.11023826937303,0.5329177064224897,101.0,0.12657740740740742,37.0,8.357016357000102,False
9,0.08559250086545944,0.00024021966498185169,2.1751013973231204,0.026245888454479595,381.51833137529934,0.08850637493340133,0.8185979299166086,99.66666666666667,0.12468601851851852,37.0,7.167783228436334,False
10,0.0798290769259135,0.0008747427280552632,2.2417430239366443,0.02137778652004507,355.94028764575586,0.41165763912899306,0.6097091911422232,99.33333333333333,0.12394879629629629,37.333333333333336,6.413637455966163,False
11,0.07818903028964996,0.0002526222033485368,2.2799609588989305,0.020282973005874193,335.1190253109892,0.3989166232169674,0.7553140768273755,100.0,0.1245936111111111,38.0,5.583160363582046,False
12,0.07491455475489299,0.0005145086605993688,2.2936690669940183,0.005406615042546136,316.61096713410546,0.10867483217321648,0.8504677748105335,100.33333333333333,0.1250025,38.333333333333336,4.652364576910922,False
13,0.07579921931028366,0.0004502983249812715,2.267062742361721,0.00457987417691549,299.8210018525928,0.08269898542297476,0.7743980976594921,98.33333333333333,0.1209687962962963,36.0,4.847984155598053,False
14,0.07265568027893703,0.0012060914265258622,2.300496192368159,0.03695111002342653,285.0831572474547,0.6683335920637143,0.733842661259231,99.0,0.11679564814814813,37.0,4.7408192296090155,False
15,0.0736030638217926,0.0011054442797361027,2.3074863772262297,0.03820972635573767,271.4936052178432,0.3324228035928912,0.6199718956440562,98.66666666666667,0.10855722222222224,36.666666666666664,4.935932810101508,False
16,0.07083706309398015,0.0010782989553002364,2.3330347045859283,0.008527696511624704,259.5757637775193,0.19479778311894025,0.6510525344912199,98.0,0.10228703703703705,36.0,5.03254091559018,False
17,0.06962748616933823,0.002186812857182289,2.3449352840520716,0.019851093966115736,248.61087884732956,0.4348905887135348,0.5887452211549408,95.66666666666667,0.09354666666666667,35.0,5.219762296879284,False
18,0.06898624449968338,0.002955587974756354,2.361420447952034,0.06473487728966604,238.08837446438542,0.8874857399770207,0.5051324965585052,81.0,0.07775472222222223,30.0,6.164569498239092,False
19,0.06779639671246211,0.001932458751295188,2.357006868837971,0.04437054635762086,229.03041016208056,0.30728342967352473,0.5828452896524927,75.0,0.07255648148148149,33.666666666666664,6.192554556047966,False
20,0.06753323972225189,0.000534118540762589,2.377497665876336,0.005819451153977457,220.943193123148,0.14456163799853214,0.5494928840762316,80.33333333333333,0.09104222222222223,26.666666666666668,4.698553518592154,False
