dominant_error,samples,duration_hours,mean_duration_seconds,mean_word_count,mean_wer,mean_cer,mean_substitutions,mean_deletions,mean_insertions
insertion,3,0.003448888888888889,4.1386666666666665,7.333333333333333,0.38359788359788355,0.16177880007667242,0.6666666666666666,0.0,2.3333333333333335
substitution,220,0.27485,4.497545454545454,7.5,0.3100241046831956,0.08243967842348865,1.8954545454545455,0.18181818181818182,0.2318181818181818
deletion,4,0.004784166666666667,4.30575,7.25,0.2232142857142857,0.06648817135549873,0.25,1.25,0.0
none,181,0.21693972222222221,4.3148232044198895,6.966850828729282,0.0,0.0,0.0,0.0,0.0
