audio_cluster,samples,duration_hours,mean_duration_seconds,mean_word_count,mean_wer,mean_cer,mean_substitutions,mean_deletions,mean_insertions
2,98,0.1503913888888889,5.524581632653061,7.948979591836735,0.19222693406366875,0.046794642641916115,1.2142857142857142,0.10204081632653061,0.21428571428571427
1,149,0.16513805555555558,3.989912751677852,7.006711409395973,0.1796100990731863,0.05431435141205196,1.0738255033557047,0.1342281879194631,0.10067114093959731
0,161,0.18449333333333331,4.125316770186336,7.074534161490683,0.15309819580005915,0.03856711179823597,0.8757763975155279,0.09316770186335403,0.13664596273291926
